L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(2, -3), (-5, 1), (-3, -2), (-4, -1), (-3, -1), (-2, -1), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (-1, -2), (1, -3), (1, -2), (-1, 0)]",s772,"[(-1, 0)]","(2, -1)","[(4, -3), (3, -2), (-5, 2), (5, -3)]",1037
"[(4, -3), (5, -1), (2, -3), (-4, -1), (-3, -1), (-1, -2), (2, -1), (5, -2), (-1, -1), (3, -1), (-3, -2), (-1, -3), (3, -2), (1, -4), (-2, -1), (1, -3), (1, -2), (4, -1)]",s773,[],"(1, 0)",[],1038
"[(1, 0)]",s775,"[(1, 0)]","(0, 1)","[(5, -1), (5, -2), (1, -2), (3, 1), (1, 2), (3, -2), (5, -3), (2, 1), (3, -1), (4, -3), (1, -3), (4, -1)]",1039
[],s777,[],"(1, 0)","[(5, -1), (5, -2), (-5, -1), (-4, -1), (-3, -1), (1, -2), (2, -1), (-2, -1), (3, -1), (6, -1), (-3, -2), (7, -1), (-6, -1), (3, -2), (-5, -2), (-1, -2), (0, -1), (1, -1), (4, -1)]",1040
"[(-5, 1), (-4, -1), (-3, -1), (-2, -1), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-1, -2), (-5, 2), (-3, -2), (-1, 0)]",s778,"[(-1, 0)]","(1, -1)","[(2, -3), (1, -2), (-4, 3), (1, -3), (-5, 3), (-3, 2)]",1041
"[(2, -3), (-4, -1), (-3, -2), (-2, -1), (-3, -1), (-2, -3), (-1, -3), (-1, -2), (1, -3), (1, -2), (-1, 0)]",s779,"[(-1, 0)]","(2, -1)","[(4, -3), (-3, 1), (3, -2), (-5, 2)]",1042
"[(1, -3), (-4, -1), (-3, -2), (-1, -1), (-2, -1), (-1, -3), (-1, -2), (1, -2), (-3, -1)]",s781,[],"(1, -1)","[(-2, 1), (-5, 1), (2, -3), (-4, 3), (-3, 1), (-3, 2), (-4, 1), (-5, 2), (3, -4)]",1043
[],s783,[],"(1, 0)","[(-7, -1), (-5, -1), (-1, -1), (-2, -1), (3, -1), (-3, -1), (-6, -1), (1, -1), (-4, -1)]",1044
"[(2, -1), (-1, -1), (3, -1), (-1, -3), (1, -2)]",s784,[],"(1, 0)",[],1045
"[(-1, -1)]",s786,[],"(1, -1)","[(-2, 1), (-3, 1), (1, -2)]",1046
"[(1, 0)]",s787,"[(1, 0)]","(0, 1)","[(4, -3), (5, -1), (2, -3), (1, 3), (4, 1), (3, 1), (5, -2), (3, 2), (2, 1), (4, -1), (3, -2), (1, 2), (3, -1), (2, 3), (1, -3), (1, -2), (5, -3)]",1047
"[(3, -1), (2, -1), (3, -2), (4, -1)]",s788,[],"(1, 1)",[],1048
"[(0, -1), (1, -1), (-1, 0)]",s790,"[(0, -1), (1, -1), (-1, 0)]","(7, -3)",[],1049
"[(-1, 1), (-1, 0)]",s791,"[(-1, 1), (-1, 0)]","(5, -14)",[],1050
"[(0, -1), (1, 0)]",s792,"[(0, -1), (1, 0)]","(5, 4)",[],1051
"[(4, -3), (0, -1), (2, -1), (2, -3), (3, -2), (3, -4), (3, -1), (1, -4), (1, -3), (4, -1)]",s793,"[(0, -1)]","(6, 7)","[(3, 2), (3, 1), (1, 1), (2, 1), (-1, -2), (4, 1), (-1, -3)]",1052
"[(0, -1), (-1, 0)]",s794,"[(0, -1), (-1, 0)]","(1, -1)",[],1053
"[(0, -1), (1, 0)]",s795,"[(0, -1), (1, 0)]","(65, 11)","[(-3, -1)]",1054
"[(0, -1), (1, 1), (-2, -3), (-1, -2)]",s796,"[(0, -1), (1, 1)]","(70, 79)",[],1055
"[(0, -1), (3, 2), (1, 0), (-1, -2)]",s797,"[(0, -1), (1, 0)]","(1, 1)",[],1056
