L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(0, -1), (-1, 0)]",v1791,"[(0, -1), (-1, 0)]","(29, -25)",[],2949
"[(1, -3), (2, -3), (-1, 0), (1, -4), (0, -1)]",v1792,"[(-1, 0), (0, -1)]","(5, -1)",[],2950
"[(-3, -2), (-3, -1), (-2, -1), (-1, -2)]",v1793,[],"(4, -3)",[],2951
"[(1, 0)]",v1794,"[(1, 0)]","(58, 17)","[(-2, -1)]",2952
"[(1, -1), (-1, 0)]",v1795,"[(1, -1), (-1, 0)]","(113, -17)",[],2953
"[(0, -1), (-1, 0)]",v1796,"[(0, -1), (-1, 0)]","(111, -25)",[],2954
"[(-1, 0)]",v1797,"[(-1, 0)]","(2, -7)",[],2955
"[(0, -1)]",v1798,"[(0, -1)]","(64, -17)",[],2956
"[(-1, 0)]",v1799,"[(-1, 0)]","(40, -27)",[],2957
"[(1, -3), (-1, 1), (1, -2), (-1, 0), (0, -1)]",v1800,"[(-1, 1), (-1, 0), (0, -1)]","(31, -41)",[],2958
"[(2, -3), (-4, -1), (-3, -1), (1, -1), (-1, -2), (-3, -2), (-2, -3), (-1, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (-1, 0)]",v1801,"[(1, -1), (-1, 0)]","(26, -1)","[(4, -3), (3, -1), (2, -1), (3, -2), (4, -1)]",2959
"[(2, -3), (3, -2), (3, -1), (0, -1), (1, 0), (4, -1)]",v1802,"[(0, -1), (1, 0)]","(1, 1)","[(3, 2), (4, 1)]",2960
[],v1803,[],"(24, -5)",[],2961
"[(-1, 0)]",v1804,"[(-1, 0)]","(27, -47)",[],2962
"[(0, -1), (-1, 0)]",v1805,"[(0, -1), (-1, 0)]","(107, -60)",[],2963
"[(0, -1), (1, 0), (1, 1)]",v1806,"[(0, -1), (1, 0), (1, 1)]","(43, 79)",[],2964
"[(1, 0), (-1, -1)]",v1807,"[(1, 0), (-1, -1)]","(115, 43)",[],2965
"[(1, 0)]",v1808,"[(1, 0)]","(7, 3)","[(5, -1), (-3, -2), (3, 1), (-2, -1), (5, 1), (4, 1), (4, -1)]",2966
[],v1809,[],"(1, 5)","[(1, 2), (5, -1), (3, 2), (1, 3), (1, -1), (6, 1), (3, 1), (5, 2), (2, -3), (3, -1), (4, 1), (2, 3), (3, -2), (2, -1), (1, -3), (5, 1), (1, -2), (4, -1)]",2967
"[(2, -3), (-1, -3), (1, -4), (0, -1), (1, -3), (1, 0)]",v1810,"[(0, -1), (1, 0)]","(100, 1)",[],2968
"[(-1, 0)]",v1811,"[(-1, 0)]","(9, -1)","[(2, -1), (3, -1)]",2969
"[(5, -1), (3, -2), (2, -3), (-1, 0), (1, -1), (2, -1), (3, -1), (6, -1), (-2, -3), (-1, -3), (-1, -2), (1, -3), (1, -2), (4, -1)]",v1812,"[(-1, 0)]","(17, -1)",[],2970
"[(-1, 0)]",v1813,"[(-1, 0)]","(35, -92)",[],2971
"[(0, -1), (2, -3), (-4, -1), (-1, -4), (-3, -2), (1, -2), (2, -1), (-1, 0), (-2, -1), (3, -2), (-3, -1), (-1, -3), (-1, -2), (1, -3), (1, -1), (-2, -3)]",v1814,"[(0, -1), (-1, 0)]","(46, -11)","[(-5, 1), (3, -1), (4, -1)]",2972
"[(1, 0)]",v1815,"[(1, 0)]","(32, 23)","[(2, 1)]",2973
"[(1, 0)]",v1816,"[(1, 0)]","(59, 36)",[],2974
"[(0, -1), (1, 0)]",v1817,"[(0, -1), (1, 0)]","(29, 9)",[],2975
"[(-1, 0), (2, -1), (3, -2)]",v1818,"[(-1, 0)]","(7, -1)","[(5, -2), (5, -1), (3, -1), (4, -1)]",2976
"[(1, 0), (-1, -1)]",v1819,"[(1, 0), (-1, -1)]","(86, 27)",[],2977
"[(1, 0), (1, 1)]",v1820,"[(1, 0), (1, 1)]","(40, 41)",[],2978
"[(1, 0), (1, -1)]",v1821,"[(1, 0), (1, -1)]","(61, 11)",[],2979
"[(-1, 0), (-1, -1)]",v1822,"[(-1, 0), (-1, -1)]","(8, -61)",[],2980
"[(2, -1), (-1, 0)]",v1823,"[(-1, 0)]","(20, -7)","[(-3, 1)]",2981
"[(-1, 0)]",v1824,"[(-1, 0)]","(1, -2)",[],2982
"[(0, -1), (-1, 0)]",v1825,"[(0, -1), (-1, 0)]","(43, -35)",[],2983
"[(1, 0)]",v1826,"[(1, 0)]","(57, 5)",[],2984
"[(-1, 0), (-1, -1)]",v1827,"[(-1, 0), (-1, -1)]","(15, -8)",[],2985
"[(1, 0), (2, -1), (3, -1)]",v1828,"[(1, 0)]","(31, 5)",[],2986
"[(0, -1), (1, 0)]",v1829,"[(0, -1), (1, 0)]","(67, 40)",[],2987
"[(1, 0)]",v1830,"[(1, 0)]","(32, 67)",[],2988
"[(1, 0)]",v1831,"[(1, 0)]","(11, 4)","[(5, -2), (5, -1), (2, -3), (6, 1), (2, -1), (3, -1), (6, -1), (3, -2), (5, 1), (4, 1), (4, -1)]",2989
"[(0, -1), (-1, 0)]",v1832,"[(0, -1), (-1, 0)]","(81, -1)",[],2990
"[(1, -3), (2, -3), (-1, 0), (1, -4), (0, -1)]",v1833,"[(-1, 0), (0, -1)]","(77, -46)",[],2991
"[(0, -1), (-2, -3), (-1, -3), (-1, -2)]",v1834,"[(0, -1)]","(11, 2)",[],2992
"[(-1, 0)]",v1835,"[(-1, 0)]","(122, -13)",[],2993
"[(1, 0), (-1, -1)]",v1836,"[(1, 0), (-1, -1)]","(30, 11)",[],2994
"[(1, 0)]",v1837,"[(1, 0)]","(47, 10)","[(-3, -1), (-2, -1)]",2995
"[(0, -1), (1, 0)]",v1838,"[(0, -1), (1, 0)]","(73, 26)",[],2996
"[(0, -1), (-1, 0)]",v1839,"[(0, -1), (-1, 0)]","(121, -1)",[],2997
"[(-1, -1), (-1, -2)]",v1840,"[(-1, -1)]","(27, -58)",[],2998
"[(1, -1), (-1, 0)]",v1841,"[(1, -1), (-1, 0)]","(109, -9)",[],2999
"[(1, -1), (-1, 0)]",v1842,"[(1, -1), (-1, 0)]","(109, -100)",[],3000
"[(2, -3), (-4, -1), (-3, -1), (3, -1), (-3, -2), (3, -2), (1, -4), (-2, -1), (0, -1), (1, 0), (4, -1)]",v1843,"[(0, -1), (1, 0)]","(65, 2)",[],3001
"[(2, -3), (2, -1), (3, -2), (3, -1), (1, 0), (1, -2), (4, -1)]",v1844,"[(1, 0)]","(11, 5)","[(3, 1), (5, 2), (4, 1), (-2, -1), (5, 1)]",3002
"[(5, -2), (5, -1), (2, -1), (3, -2), (3, -1), (1, 0), (4, -1)]",v1845,"[(1, 0)]","(10, 1)",[],3003
"[(1, 0), (-1, -1)]",v1846,"[(1, 0), (-1, -1)]","(61, 36)",[],3004
"[(4, -3), (2, -3), (2, -1), (3, -2), (3, -1), (1, 0), (1, -2)]",v1847,"[(1, 0)]","(75, 4)",[],3005
"[(1, 0)]",v1848,"[(1, 0)]","(30, 59)",[],3006
"[(1, 0)]",v1849,"[(1, 0)]","(125, 52)",[],3007
"[(1, 0), (-1, -1)]",v1850,"[(1, 0), (-1, -1)]","(26, 1)",[],3008
"[(-3, -1), (-4, -1), (-1, 0)]",v1851,"[(-1, 0)]","(12, -11)",[],3009
"[(-1, -3), (-1, -4), (-2, -3), (1, -4), (0, -1), (1, -3), (1, 0)]",v1852,"[(0, -1), (1, 0)]","(71, 39)","[(-3, -2)]",3010
"[(2, -1), (1, -1), (-1, 0)]",v1853,"[(1, -1), (-1, 0)]","(13, -5)","[(-3, 1)]",3011
"[(-1, 0)]",v1854,"[(-1, 0)]","(93, -16)",[],3012
"[(3, 2), (4, 3), (4, 1), (3, 1), (2, -3), (3, -2), (3, -1), (1, -4), (0, -1), (1, -3), (1, 0), (1, -2), (4, -1), (2, 1)]",v1855,"[(0, -1), (1, 0)]","(17, 35)","[(1, 2), (-1, -4), (-1, -3), (2, 3)]",3013
"[(-3, -4), (0, -1), (2, -3), (-1, -3), (-1, -4), (-2, -3), (-1, -2), (1, -3), (1, 0), (1, -2)]",v1856,"[(0, -1), (1, 0)]","(40, 13)",[],3014
"[(0, -1), (-1, 0)]",v1857,"[(0, -1), (-1, 0)]","(79, -3)",[],3015
[],v1858,[],"(1, -1)","[(-2, 1), (-5, 1), (-4, -1), (-6, 1), (-3, 1), (-3, -2), (-1, -2), (2, -3), (-2, -3), (-3, -1), (-6, -1), (-4, 1), (-1, -3), (-5, -2), (-2, -1), (1, -3), (1, -2), (-5, -1), (-3, 2)]",3016
"[(-3, -2), (-1, -2), (-1, -1), (-2, -3), (-1, -3), (-2, -1), (-3, -1)]",v1859,[],"(2, -1)","[(1, -1), (1, -2)]",3017
"[(1, -3), (2, -3), (-1, 0), (-3, -2), (1, -1), (-3, 2), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (1, -4), (-4, 3), (3, -4), (1, -2)]",v1860,"[(-1, 0), (1, -1)]","(81, -79)",[],3018
"[(-1, 0)]",v1861,"[(-1, 0)]","(23, -5)",[],3019
"[(-3, -2), (1, 0), (-2, -1)]",v1862,"[(1, 0)]","(5, 1)","[(-3, -1)]",3020
"[(1, -3), (1, -2), (0, -1)]",v1863,"[(0, -1)]","(1, 3)",[],3021
"[(1, -3), (2, -3), (1, -2), (1, 0), (3, -2)]",v1864,"[(1, 0)]","(15, 29)",[],3022
"[(0, -1), (-1, 0)]",v1865,"[(0, -1), (-1, 0)]","(79, -45)",[],3023
"[(-1, 0)]",v1866,"[(-1, 0)]","(83, -27)",[],3024
"[(1, 0)]",v1867,"[(1, 0)]","(5, 1)",[],3025
"[(1, 0)]",v1868,"[(1, 0)]","(1, 3)",[],3026
"[(0, -1), (1, 0)]",v1869,"[(0, -1), (1, 0)]","(7, 5)","[(-1, -3), (-1, -2)]",3027
"[(1, 0), (1, -1)]",v1870,"[(1, 0), (1, -1)]","(1, 80)",[],3028
"[(0, -1), (1, 0)]",v1871,"[(0, -1), (1, 0)]","(59, 83)",[],3029
"[(-1, 1), (-1, 0)]",v1872,"[(-1, 1), (-1, 0)]","(13, -40)",[],3030
"[(1, 0), (-1, -1)]",v1873,"[(1, 0), (-1, -1)]","(110, 13)",[],3031
"[(-1, 0)]",v1874,"[(-1, 0)]","(7, -4)",[],3032
"[(-4, -1), (-3, -2), (-1, -2), (-1, -1), (-3, -1), (-2, -1), (-1, 0)]",v1875,"[(-1, 0)]","(19, -16)",[],3033
"[(-1, 0)]",v1876,"[(-1, 0)]","(20, -23)",[],3034
"[(1, 0)]",v1877,"[(1, 0)]","(25, 17)","[(3, 2), (3, 1), (2, 1)]",3035
"[(1, -1), (-3, 2), (-1, 0)]",v1878,"[(1, -1), (-1, 0)]","(87, -67)",[],3036
"[(0, -1), (-1, 0)]",v1879,"[(0, -1), (-1, 0)]","(51, -95)",[],3037
"[(0, -1), (1, 0)]",v1880,"[(0, -1), (1, 0)]","(3, 4)",[],3038
"[(-1, 1), (-1, 0)]",v1881,"[(-1, 1), (-1, 0)]","(26, -27)",[],3039
"[(-4, -1), (-3, -2), (-1, -2), (-1, -3), (-2, -3), (-5, -1), (-2, -1), (-3, -1)]",v1882,[],"(1, -2)","[(-2, 3), (-2, 1), (-5, 1), (-3, 1), (-4, 1), (1, -3), (-3, 2)]",3040
"[(0, -1), (-1, 0)]",v1883,"[(0, -1), (-1, 0)]","(67, -71)",[],3041
"[(0, -1), (-1, 0)]",v1884,"[(0, -1), (-1, 0)]","(94, -11)",[],3042
"[(-1, 0)]",v1885,"[(-1, 0)]","(109, -16)",[],3043
"[(1, -3), (1, -2), (0, -1)]",v1886,"[(0, -1)]","(4, -3)",[],3044
"[(2, -1), (1, -1), (-1, 0), (3, -2)]",v1887,"[(1, -1), (-1, 0)]","(5, -1)",[],3045
"[(1, -1), (-1, 0)]",v1888,"[(1, -1), (-1, 0)]","(103, -31)",[],3046
"[(-3, 1), (-2, 1), (1, -1), (-1, 0)]",v1889,"[(1, -1), (-1, 0)]","(44, -25)","[(3, -2)]",3047
"[(1, 0)]",v1890,"[(1, 0)]","(74, 11)",[],3048
"[(0, -1), (1, 0)]",v1891,"[(0, -1), (1, 0)]","(59, 48)",[],3049
"[(0, -1), (-1, 0)]",v1892,"[(0, -1), (-1, 0)]","(74, -59)",[],3050
[],v1893,[],"(1, -3)","[(-3, 1), (-2, 1), (-4, 1)]",3051
"[(-3, -2), (-3, -1), (-1, 0), (-2, -1)]",v1894,"[(-1, 0)]","(5, -1)",[],3052
"[(3, 2), (3, 1), (1, 0)]",v1895,"[(1, 0)]","(6, 47)",[],3053
"[(-1, 1), (1, -2), (-1, 0)]",v1896,"[(-1, 1), (-1, 0)]","(81, -85)",[],3054
"[(1, 0)]",v1897,"[(1, 0)]","(1, 1)","[(3, 1), (2, 1)]",3055
"[(0, -1)]",v1898,"[(0, -1)]","(1, -1)",[],3056
"[(1, 0)]",v1899,"[(1, 0)]","(4, 1)",[],3057
"[(1, 0), (1, 1)]",v1900,"[(1, 0), (1, 1)]","(6, 19)",[],3058
"[(-3, -1), (-4, -1), (-1, 0), (-2, -1)]",v1901,"[(-1, 0)]","(1, -1)",[],3059
[],v1902,[],"(1, 1)","[(1, -1)]",3060
"[(1, 0), (2, 1), (-1, -1)]",v1903,"[(1, 0), (-1, -1)]","(94, 63)",[],3061
"[(1, 0)]",v1904,"[(1, 0)]","(72, 29)",[],3062
"[(1, 0)]",v1905,"[(1, 0)]","(108, 19)",[],3063
"[(0, -1)]",v1906,"[(0, -1)]","(58, 31)",[],3064
"[(-1, 0), (-3, -1), (-2, -1), (-4, -1)]",v1907,"[(-1, 0)]","(21, -16)","[(-2, 1), (-3, 1)]",3065
"[(0, -1), (1, 0)]",v1908,"[(0, -1), (1, 0)]","(75, 59)",[],3066
"[(-1, 1), (-1, 0)]",v1909,"[(-1, 1), (-1, 0)]","(4, -23)",[],3067
"[(0, -1), (-1, 0)]",v1910,"[(0, -1), (-1, 0)]","(119, -5)",[],3068
"[(0, -1), (-1, 0)]",v1911,"[(0, -1), (-1, 0)]","(69, -55)",[],3069
"[(0, -1), (-1, 0)]",v1912,"[(0, -1), (-1, 0)]","(23, -40)",[],3070
"[(0, -1)]",v1913,"[(0, -1)]","(63, -25)",[],3071
"[(-1, 0)]",v1914,"[(-1, 0)]","(8, -13)",[],3072
"[(5, -1), (5, -2), (2, -3), (-1, 0), (1, -1), (2, -1), (3, -2), (3, -1), (1, -2), (4, -1)]",v1915,"[(-1, 0)]","(41, -1)",[],3073
"[(-1, 0)]",v1916,"[(-1, 0)]","(103, -5)",[],3074
"[(0, -1), (1, 0)]",v1917,"[(0, -1), (1, 0)]","(79, 37)",[],3075
"[(0, -1), (1, 0)]",v1918,"[(0, -1), (1, 0)]","(89, 11)",[],3076
"[(-1, 0), (-1, -1)]",v1919,"[(-1, 0), (-1, -1)]","(75, -13)",[],3077
"[(0, -1), (-1, 0)]",v1920,"[(0, -1), (-1, 0)]","(107, -22)",[],3078
"[(0, -1), (-1, 0)]",v1921,"[(0, -1), (-1, 0)]","(99, -1)",[],3079
"[(0, -1), (-1, 0)]",v1922,"[(0, -1), (-1, 0)]","(129, -29)",[],3080
"[(-1, 0), (-2, -1)]",v1923,"[(-1, 0)]","(1, -1)",[],3081
"[(1, 0)]",v1924,"[(1, 0)]","(1, 1)",[],3082
"[(1, 0)]",v1925,"[(1, 0)]","(33, 25)","[(2, 1)]",3083
"[(-1, 0)]",v1926,"[(-1, 0)]","(11, -64)",[],3084
"[(2, -3), (-4, -1), (-3, -2), (-1, 0), (-2, -1), (-3, -1), (-1, -3), (-5, -1), (-1, -2), (1, -3), (1, -2), (-2, -3)]",v1927,"[(-1, 0)]","(6, -1)","[(2, -1), (3, -2), (3, -1), (4, -1)]",3085
"[(2, -3), (1, -1), (3, -4), (1, -3), (1, -2)]",v1928,"[(1, -1)]","(23, -5)","[(4, -3), (3, -2)]",3086
"[(1, 0), (1, 1)]",v1929,"[(1, 0), (1, 1)]","(2, 11)",[],3087
"[(0, -1), (-1, 0)]",v1930,"[(0, -1), (-1, 0)]","(69, -71)",[],3088
"[(0, -1)]",v1931,"[(0, -1)]","(74, 15)",[],3089
"[(0, -1), (-1, -2)]",v1932,"[(0, -1)]","(49, 26)",[],3090
"[(1, -1)]",v1933,"[(1, -1)]","(49, -19)",[],3091
"[(1, 0), (1, 1)]",v1934,"[(1, 0), (1, 1)]","(99, 116)",[],3092
"[(1, 0)]",v1935,"[(1, 0)]","(11, 1)","[(5, -2), (5, -1), (2, -3), (-4, -1), (-3, -2), (-1, -1), (2, -1), (-1, -2), (3, -2), (6, -1), (-3, -1), (-2, -3), (3, -1), (-1, -3), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1)]",3093
"[(0, -1), (1, 0)]",v1936,"[(0, -1), (1, 0)]","(13, 9)",[],3094
"[(1, 0)]",v1937,"[(1, 0)]","(0, 1)","[(2, 1)]",3095
"[(0, -1), (-3, -4), (-4, -1), (-1, -4), (-4, -3), (-1, -3), (-2, -3), (-1, -2), (-3, -2)]",v1938,"[(0, -1)]","(1, -1)","[(-3, 2), (2, -3), (-3, 1), (-4, 1), (1, -4), (1, -3), (1, -2)]",3096
"[(-1, 0)]",v1939,"[(-1, 0)]","(77, -8)",[],3097
"[(-1, -1)]",v1940,"[(-1, -1)]","(106, 105)",[],3098
"[(-1, 0), (-1, -1)]",v1941,"[(-1, 0), (-1, -1)]","(71, -29)",[],3099
"[(1, -1), (1, 0), (1, -2)]",v1942,"[(1, 0)]","(11, 8)",[],3100
"[(0, -1), (1, 0)]",v1943,"[(0, -1), (1, 0)]","(56, 71)",[],3101
"[(-1, 1), (-1, 0)]",v1944,"[(-1, 1), (-1, 0)]","(33, -104)",[],3102
"[(0, -1), (-1, 0)]",v1945,"[(0, -1), (-1, 0)]","(89, -19)",[],3103
"[(-3, -1), (1, 0), (-2, -1)]",v1946,"[(1, 0)]","(13, 1)",[],3104
"[(-1, 0)]",v1947,"[(-1, 0)]","(59, -10)","[(4, -1), (3, -1)]",3105
"[(0, -1), (-1, 0)]",v1948,"[(0, -1), (-1, 0)]","(21, -25)",[],3106
"[(0, -1), (1, 0)]",v1949,"[(0, -1), (1, 0)]","(19, 44)",[],3107
"[(-1, 0)]",v1950,"[(-1, 0)]","(35, -1)",[],3108
"[(-1, 0)]",v1951,"[(-1, 0)]","(58, -37)",[],3109
"[(0, -1), (1, 0)]",v1952,"[(0, -1), (1, 0)]","(91, 87)",[],3110
"[(1, 0), (1, 1)]",v1953,"[(1, 0), (1, 1)]","(17, 44)",[],3111
"[(1, -1), (-1, 0)]",v1954,"[(1, -1), (-1, 0)]","(93, -53)","[(3, -2)]",3112
"[(1, -1), (-1, 0)]",v1955,"[(1, -1), (-1, 0)]","(57, -26)",[],3113
"[(-1, 1)]",v1956,"[(-1, 1)]","(6, -7)",[],3114
"[(0, -1), (-1, 0)]",v1957,"[(0, -1), (-1, 0)]","(79, -73)",[],3115
"[(1, 0)]",v1958,"[(1, 0)]","(79, 12)",[],3116
"[(-1, -1)]",v1959,"[(-1, -1)]","(34, -75)",[],3117
"[(1, 0)]",v1960,"[(1, 0)]","(125, 17)",[],3118
"[(0, -1), (1, 0)]",v1961,"[(0, -1), (1, 0)]","(41, 23)",[],3119
"[(0, -1), (1, 0)]",v1962,"[(0, -1), (1, 0)]","(8, 1)",[],3120
"[(-4, -1), (-2, -1), (-3, -2), (-1, -4), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (-3, -1)]",v1963,[],"(4, -9)","[(-2, 1), (-3, 1), (-2, 3), (-1, 2), (1, -4), (-1, 1), (-4, 1), (1, -3), (-3, 2)]",3121
"[(1, 0)]",v1964,"[(1, 0)]","(4, 1)",[],3122
"[(0, -1), (1, 0)]",v1965,"[(0, -1), (1, 0)]","(64, 83)",[],3123
"[(1, 0), (-1, -1)]",v1966,"[(1, 0), (-1, -1)]","(121, 120)",[],3124
"[(0, -1), (-1, 0)]",v1967,"[(0, -1), (-1, 0)]","(49, -37)",[],3125
"[(-1, 0)]",v1968,"[(-1, 0)]","(1, -16)",[],3126
"[(0, -1), (-1, 1), (-1, 0)]",v1969,"[(0, -1), (-1, 1), (-1, 0)]","(47, -62)",[],3127
"[(0, -1), (-1, 0)]",v1970,"[(0, -1), (-1, 0)]","(16, -25)",[],3128
"[(1, 0)]",v1971,"[(1, 0)]","(1, 1)","[(3, -1)]",3129
"[(0, -1)]",v1972,"[(0, -1)]","(46, -55)",[],3130
"[(3, -2), (3, 1), (3, -1), (-2, -3), (0, -1), (1, 0), (4, 1), (4, -1)]",v1973,"[(0, -1), (1, 0)]","(79, 38)","[(-3, -2), (-4, -3), (-2, -1)]",3131
"[(-1, 0)]",v1974,"[(-1, 0)]","(123, -23)",[],3132
"[(1, -1)]",v1975,"[(1, -1)]","(11, 2)",[],3133
"[(0, -1), (1, 0), (1, 1)]",v1976,"[(0, -1), (1, 0), (1, 1)]","(25, 58)",[],3134
"[(-1, 0)]",v1977,"[(-1, 0)]","(25, -57)",[],3135
"[(-4, -1), (-3, -2), (-3, -1), (-3, 1), (-4, 1), (0, -1), (-1, 0)]",v1978,"[(0, -1), (-1, 0)]","(61, -37)","[(2, -3), (3, -2)]",3136
"[(1, -1), (-1, 0)]",v1979,"[(1, -1), (-1, 0)]","(107, -24)",[],3137
"[(5, -1), (5, -2), (2, -3), (-4, -1), (-3, -2), (-1, -1), (-1, 0), (-2, -1), (3, -1), (4, -3), (-3, -1), (-1, -3), (3, -2), (3, -4), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (4, -1), (0, -1)]",v1980,"[(-1, 0), (0, -1)]","(49, -1)",[],3138
"[(0, -1), (1, 0)]",v1981,"[(0, -1), (1, 0)]","(20, 19)",[],3139
"[(0, -1), (-1, 0)]",v1982,"[(0, -1), (-1, 0)]","(5, -16)",[],3140
"[(1, -4), (-2, -3), (1, -2), (3, -1), (-1, -4), (3, -2), (-1, -2), (1, -3), (1, 0), (4, -1), (2, -3), (-1, -3)]",v1983,"[(1, 0)]","(1, 1)","[(-3, -4), (3, 1), (3, 2), (2, 1), (4, 3), (4, 1)]",3141
"[(0, -1), (1, 0)]",v1984,"[(0, -1), (1, 0)]","(7, 11)",[],3142
"[(-1, 1), (-1, 0)]",v1985,"[(-1, 1), (-1, 0)]","(11, -100)",[],3143
"[(0, -1), (1, 0)]",v1986,"[(0, -1), (1, 0)]","(99, 1)",[],3144
"[(-1, 0)]",v1987,"[(-1, 0)]","(73, -5)",[],3145
"[(0, -1), (-1, 0), (-1, -2)]",v1988,"[(0, -1), (-1, 0)]","(47, -60)",[],3146
"[(0, -1), (1, 1)]",v1989,"[(0, -1), (1, 1)]","(86, 119)",[],3147
"[(-1, 0)]",v1990,"[(-1, 0)]","(91, -47)","[(-2, 1)]",3148
"[(0, -1), (1, 0)]",v1991,"[(0, -1), (1, 0)]","(73, 44)",[],3149
"[(-1, 0), (-2, -1)]",v1992,"[(-1, 0)]","(51, -8)",[],3150
"[(0, -1), (-1, 0)]",v1993,"[(0, -1), (-1, 0)]","(111, -4)",[],3151
"[(1, 1)]",v1994,"[(1, 1)]","(9, 43)",[],3152
"[(0, -1), (1, 0)]",v1995,"[(0, -1), (1, 0)]","(105, 61)",[],3153
"[(1, 0)]",v1996,"[(1, 0)]","(100, 3)",[],3154
"[(2, -1), (-1, 0)]",v1997,"[(-1, 0)]","(4, -1)",[],3155
"[(0, -1), (1, 0)]",v1998,"[(0, -1), (1, 0)]","(81, 76)",[],3156
"[(1, 0)]",v1999,"[(1, 0)]","(3, 8)","[(3, 1), (4, 1)]",3157
"[(0, -1), (-1, 0)]",v2000,"[(0, -1), (-1, 0)]","(109, -25)",[],3158
"[(1, 0)]",v2001,"[(1, 0)]","(1, 1)",[],3159
"[(-1, -1)]",v2002,[],"(1, -1)",[],3160
"[(-1, 0)]",v2003,"[(-1, 0)]","(6, -61)",[],3161
"[(1, -1)]",v2004,"[(1, -1)]","(81, -5)",[],3162
"[(-1, 0)]",v2005,"[(-1, 0)]","(47, -9)",[],3163
"[(0, -1), (-1, 0)]",v2006,"[(0, -1), (-1, 0)]","(59, -95)",[],3164
"[(1, 0)]",v2007,"[(1, 0)]","(65, 3)",[],3165
"[(-4, -1), (-3, -2), (2, -1), (3, -1), (-3, -1), (3, -2), (-2, -1), (0, -1), (1, 0), (4, -1)]",v2008,"[(0, -1), (1, 0)]","(25, 1)",[],3166
"[(0, -1), (1, 0), (1, 1), (-1, -2)]",v2009,"[(0, -1), (1, 0), (1, 1)]","(79, 95)",[],3167
"[(0, -1), (-1, 1), (-1, 0)]",v2010,"[(0, -1), (-1, 1), (-1, 0)]","(41, -89)",[],3168
"[(-2, 1), (1, -1), (-1, 0)]",v2011,"[(1, -1), (-1, 0)]","(101, -62)",[],3169
"[(1, -1), (-1, 0)]",v2012,"[(1, -1), (-1, 0)]","(102, -61)","[(-2, 1)]",3170
"[(1, -1), (-1, 0)]",v2013,"[(1, -1), (-1, 0)]","(5, -1)",[],3171
"[(0, -1), (-1, -1)]",v2014,"[(0, -1)]","(4, -3)",[],3172
"[(1, 0), (-1, -1)]",v2015,"[(1, 0), (-1, -1)]","(101, 2)",[],3173
"[(-1, 0)]",v2016,"[(-1, 0)]","(45, -1)",[],3174
"[(0, -1), (1, 1)]",v2017,"[(0, -1), (1, 1)]","(72, 101)",[],3175
"[(2, -3), (-4, -1), (-3, -1), (1, -1), (2, -1), (-1, 0), (-1, -2), (-1, -4), (-2, -3), (3, -2), (-2, -1), (1, -3), (1, -2), (-3, -2), (-1, -3)]",v2018,"[(-1, 0)]","(4, -1)","[(3, -1)]",3176
"[(1, 0)]",v2019,"[(1, 0)]","(12, 11)",[],3177
"[(1, 0), (-1, -1)]",v2020,"[(1, 0), (-1, -1)]","(113, 6)",[],3178
"[(-1, 1), (-1, 0)]",v2021,"[(-1, 1), (-1, 0)]","(7, -52)",[],3179
"[(0, -1)]",v2022,"[(0, -1)]","(1, 1)",[],3180
"[(-1, 0)]",v2023,"[(-1, 0)]","(1, -1)","[(-3, 1)]",3181
"[(1, 0)]",v2024,"[(1, 0)]","(107, 1)",[],3182
"[(-1, 0)]",v2025,"[(-1, 0)]","(102, -23)",[],3183
"[(-1, 0)]",v2026,"[(-1, 0)]","(86, -13)",[],3184
"[(0, -1), (1, 0)]",v2027,"[(0, -1), (1, 0)]","(71, 37)",[],3185
"[(3, -2), (2, -3), (-1, -1), (-1, -4), (-2, -3), (3, -1), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",v2028,"[(-1, -1), (1, 0)]","(36, 31)","[(4, 1), (3, 1), (3, 2), (2, 1), (4, 3)]",3186
"[(1, 0), (-2, -1)]",v2029,"[(1, 0)]","(91, 23)",[],3187
"[(1, 0)]",v2030,"[(1, 0)]","(15, 14)","[(3, 1), (2, 1), (-1, -1)]",3188
"[(-1, 1), (-1, 0)]",v2031,"[(-1, 1), (-1, 0)]","(111, -136)",[],3189
"[(0, -1), (-1, 0)]",v2032,"[(0, -1), (-1, 0)]","(43, -25)",[],3190
"[(1, 0)]",v2033,"[(1, 0)]","(46, 19)",[],3191
[],v2034,[],"(80, 23)",[],3192
"[(0, -1), (-1, 0)]",v2035,"[(0, -1), (-1, 0)]","(5, -13)",[],3193
"[(1, 0), (1, 1)]",v2036,"[(1, 0), (1, 1)]","(45, 124)",[],3194
"[(5, -1), (3, -1), (1, -3), (2, -3), (3, -2), (-1, -3), (-1, -2), (1, -2), (4, -1)]",v2037,[],"(1, 1)","[(3, 2), (4, 1), (3, 1), (-2, -3), (5, 1)]",3195
"[(3, -1), (1, 0), (3, -2)]",v2038,"[(1, 0)]","(1, 53)","[(1, -2), (2, -3)]",3196
