L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(2, -3), (1, -2), (2, -1), (3, -2), (3, -1), (1, 0), (1, -1)]",s428,False,"[(1, 0), (1, -1)]","(23, 17)",[],23,715
"[(1, 0), (1, 1)]",s429,False,"[(1, 0), (1, 1)]","(9, 55)",[],59,716
"[(1, 0), (1, 1)]",s430,False,"[(1, 0), (1, 1)]","(19, 62)",[],67,717
"[(0, -1), (1, 0), (-1, -2)]",s431,False,"[(0, -1), (1, 0)]","(4, 3)",[],5,718
"[(-4, -1), (-3, -2), (-1, -2), (-1, -3), (-3, -1), (1, -4), (-2, -1), (1, -3), (1, -2), (0, -1)]",s432,False,"[(0, -1)]","(4, -5)","[(-4, 1), (2, -3), (-5, 1), (3, -4), (-4, 3), (-5, 2), (-3, 2)]",5,719
"[(0, -1), (-1, 1), (-1, 0)]",s433,False,"[(0, -1), (-1, 1), (-1, 0)]","(2, -5)",[],5,720
"[(0, -1), (1, -2), (-1, 0)]",s434,False,"[(0, -1), (-1, 0)]","(63, -31)",[],69,721
[],s435,False,[],"(1, -1)","[(-3, 1)]",1,722
"[(1, -2)]",s436,False,[],"(1, 1)",[],1,723
"[(4, -3), (5, -2), (1, -2), (5, -1), (2, -3), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (0, -1)]",s437,False,"[(1, 0), (0, -1)]","(1, 1)","[(3, 2), (3, 1), (-2, -3), (2, 1), (4, 1)]",2,724
[],s438,False,[],"(1, 0)","[(-3, -1), (5, -1), (4, -1), (3, -1), (-4, -1)]",1,725
"[(-1, 0)]",s439,False,"[(-1, 0)]","(3, -1)",[],6,726
"[(-1, -4), (-4, -3), (0, -1), (-1, -3), (-2, -3), (-5, -1), (-1, -2)]",s440,False,"[(0, -1)]","(2, -1)","[(3, -2), (2, -3), (1, -2), (-3, 1), (-4, 1), (1, -3), (1, -1)]",4,727
"[(4, -3), (5, -1), (5, -2), (2, -3), (-1, -3), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",s442,False,"[(1, 0)]","(1, 1)","[(3, 2), (4, 1), (3, 1), (2, 1), (-2, -3)]",2,728
"[(1, 0), (-1, -1), (-1, -3), (-2, -3), (-1, -2)]",s444,False,"[(1, 0), (-1, -1)]","(39, 25)",[],27,729
"[(5, -1), (-5, -2), (-1, 0), (-4, -3), (2, -1), (3, -2), (-3, -1), (3, -1), (-5, -1), (1, -3), (1, -2), (4, -1), (-4, -1)]",s445,False,"[(-1, 0)]","(12, -1)",[],5,730
"[(1, -3), (2, -3), (1, -2), (1, 0), (1, -1)]",s446,False,"[(1, 0), (1, -1)]","(33, 23)",[],29,731
"[(-3, -2), (-3, -1), (-4, -1), (-1, 0), (-2, -1)]",s447,False,"[(-1, 0)]","(13, -11)",[],17,732
"[(2, -3), (-4, -1), (-3, -1), (2, -1), (-2, -1), (3, -2), (-3, -2), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (1, -3), (1, -2)]",s448,False,[],"(11, -2)","[(5, -1), (3, -1), (4, -1)]",7,733
"[(-1, 0), (-1, -1)]",s449,False,"[(-1, 0), (-1, -1)]","(3, -19)",[],19,734
"[(0, -1), (2, -3), (2, -1), (-1, -1), (-3, -4), (3, -1), (-1, -2), (-1, -4), (-2, -3), (3, -2), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",s450,False,"[(0, -1), (-1, -1), (1, 0)]","(19, 8)","[(4, 1), (-3, -2), (3, 1), (-2, -1), (-4, -3)]",17,735
