L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(-1, 0)]",v1314,False,"[(-1, 0)]","(63, -20)",[],51,2495
"[(1, 0)]",v1315,False,"[(1, 0)]","(1, 1)","[(5, -1), (0, -1), (2, -1), (3, 1), (3, -2), (6, -1), (3, -1), (1, -1), (4, -1), (2, 1)]",1,2496
"[(-5, -1), (-4, -1), (-3, -1), (-2, -1), (-2, -3), (-1, -3), (-5, -2), (-1, -2), (-4, -3), (-3, -2), (-1, 0)]",v1316,False,"[(-1, 0)]","(1, -1)","[(-2, 1), (2, -3), (-3, 1), (-4, 1), (1, -3), (1, -2), (-3, 2)]",1,2497
"[(-3, -4), (-3, -2), (-2, -3), (-1, -4), (3, -2), (-1, -1), (-4, -3), (1, 0), (4, -1)]",v1317,False,"[(-1, -1), (1, 0)]","(82, 45)","[(5, 2)]",47,2498
"[(-1, 0)]",v1318,False,"[(-1, 0)]","(93, -7)",[],55,2499
"[(1, 0)]",v1319,False,"[(1, 0)]","(61, 7)",[],39,2500
"[(1, -1), (1, 0), (1, -2)]",v1320,False,"[(1, -1), (1, 0)]","(16, 3)",[],28,2501
"[(0, -1), (-1, 0)]",v1321,False,"[(0, -1), (-1, 0)]","(21, -8)",[],30,2502
"[(-3, -1), (-1, 0), (3, -1), (-2, -1)]",v1322,False,"[(-1, 0)]","(5, -1)",[],3,2503
"[(0, -1), (1, 0), (1, 1)]",v1323,False,"[(0, -1), (1, 0), (1, 1)]","(47, 71)",[],73,2504
"[(-1, 0)]",v1324,False,"[(-1, 0)]","(66, -23)",[],49,2505
"[(0, -1), (1, 0)]",v1325,False,"[(0, -1), (1, 0)]","(9, 83)",[],75,2506
"[(4, -3), (5, -1), (2, -3), (2, -1), (5, -2), (3, -1), (4, -1), (-1, -3), (1, -3), (1, 0), (3, -2), (-2, -3)]",v1326,False,"[(1, 0)]","(35, 19)","[(-3, -2), (3, 1), (2, 1), (4, 1)]",31,2507
"[(-1, 0)]",v1329,False,"[(-1, 0)]","(87, -5)",[],49,2508
"[(1, 0)]",v1330,False,"[(1, 0)]","(23, 5)",[],17,2509
"[(-1, 1)]",v1331,False,"[(-1, 1)]","(14, -33)",[],35,2510
"[(2, -3), (2, -1), (3, -2), (3, -1), (1, 0), (1, -2), (4, -1)]",v1332,False,"[(1, 0)]","(24, 23)",[],35,2511
"[(2, -3), (-1, 0), (-3, -2), (-2, -3), (-3, -1), (3, -2), (-5, -1), (-2, -1), (1, -3), (4, -1), (-4, -1)]",v1333,False,"[(-1, 0)]","(9, -1)","[(5, -1)]",5,2512
"[(1, 0), (1, -1)]",v1334,False,"[(1, 0), (1, -1)]","(79, 28)",[],63,2513
"[(0, -1), (1, 0)]",v1337,False,"[(0, -1), (1, 0)]","(97, 7)",[],57,2514
"[(-1, 0)]",v1338,False,"[(-1, 0)]","(57, -7)",[],37,2515
"[(1, 0)]",v1339,False,"[(1, 0)]","(20, 7)",[],32,2516
"[(-1, 0)]",v1340,False,"[(-1, 0)]","(11, -1)",[],5,2517
"[(-1, 0)]",v1341,False,"[(-1, 0)]","(1, -1)",[],5,2518
"[(1, -1), (-1, 0)]",v1342,False,"[(1, -1), (-1, 0)]","(59, -33)",[],53,2519
"[(-1, 0)]",v1343,False,"[(-1, 0)]","(27, -1)",[],19,2520
"[(0, -1), (1, 0)]",v1344,False,"[(0, -1), (1, 0)]","(16, 23)",[],21,2521
"[(0, -1), (-1, 0)]",v1345,False,"[(0, -1), (-1, 0)]","(37, -65)",[],57,2522
"[(-1, 0)]",v1348,'K7_49',"[(-1, 0)]","(8, -1)","[(5, -1), (-5, -1), (-3, -1), (2, -1), (3, -1), (-5, -2), (4, -1), (-4, -1)]",9,2523
"[(-1, 0)]",v1349,False,"[(-1, 0)]","(81, -28)",[],65,2524
"[(2, -1), (3, -1), (3, -2), (-2, -1), (1, 0), (4, -1)]",v1352,False,"[(1, 0)]","(31, 4)","[(-4, -1), (-3, -1)]",23,2525
"[(0, -1), (-1, 0)]",v1353,False,"[(0, -1), (-1, 0)]","(49, -41)",[],53,2526
"[(1, 0)]",v1354,False,"[(1, 0)]","(23, 3)",[],11,2527
"[(-2, -3), (-1, -3), (0, -1), (1, 0)]",v1355,False,"[(0, -1), (1, 0)]","(45, 43)","[(3, 2), (3, 1), (4, 1)]",49,2528
"[(2, -3), (-4, -1), (-3, -1), (3, -2), (-1, -1), (1, -3), (-1, 0)]",v1356,False,"[(-1, -1), (-1, 0)]","(58, -15)","[(3, -1), (-4, 1)]",55,2529
"[(1, 0)]",v1357,False,"[(1, 0)]","(26, 61)",[],55,2530
"[(-3, -2), (-2, -3), (-1, -3), (-1, 0)]",v1358,False,"[(-1, 0)]","(40, -33)",[],45,2531
"[(1, 0)]",v1359,'K7_50',"[(1, 0)]","(58, 1)",[],43,2532
"[(0, -1), (1, 0)]",v1360,False,"[(0, -1), (1, 0)]","(41, 14)",[],33,2533
"[(1, 0), (-1, -1)]",v1361,False,"[(1, 0), (-1, -1)]","(95, 64)",[],69,2534
"[(-1, 0)]",v1362,False,"[(-1, 0)]","(25, -2)",[],30,2535
"[(1, 0)]",v1363,False,"[(1, 0)]","(19, 2)",[],24,2536
"[(0, -1), (1, 0)]",v1364,False,"[(0, -1), (1, 0)]","(44, 49)",[],59,2537
"[(-1, 0), (-3, -1), (-3, -2), (-5, -1), (-2, -1), (-4, -1)]",v1365,False,"[(-1, 0)]","(25, -11)",[],19,2538
"[(-4, -1), (-3, -1), (-3, -2), (-5, -1), (-2, -1), (-1, 0)]",v1366,False,"[(-1, 0)]","(5, -13)","[(-5, 1), (-3, 1), (-4, 1)]",25,2539
"[(3, -2), (2, -3), (2, -1), (3, -1), (3, -4), (1, -4), (1, -3), (1, 0), (4, -1)]",v1367,False,"[(1, 0)]","(1, 1)","[(3, 1), (3, 2), (-1, -4), (-1, -3), (-2, -3), (-1, -2), (4, 1), (2, 1)]",1,2540
"[(1, 0)]",v1368,False,"[(1, 0)]","(0, 1)","[(2, 1), (2, -1), (1, -1)]",1,2541
"[(-1, -1)]",v1369,False,"[(-1, -1)]","(1, 0)",[],8,2542
"[(1, -3), (2, -3), (1, 0), (3, -2)]",v1370,False,"[(1, 0)]","(59, 22)",[],41,2543
"[(1, -3), (-5, -2), (-4, -1), (-1, -4), (-4, -3), (-1, 0), (-1, -3), (-2, -3), (-5, -1), (-1, -2), (0, -1), (-5, -3)]",v1373,False,"[(-1, 0), (0, -1)]","(2, -3)","[(-1, 1), (-3, 2), (-2, 1), (-3, 1), (-4, 1), (1, -2)]",3,2544
"[(1, 0)]",v1374,False,"[(1, 0)]","(24, 11)","[(-3, -2), (5, 2), (3, 1), (-2, -1), (5, 1), (4, 1)]",15,2545
"[(-1, -1)]",v1375,False,"[(-1, -1)]","(1, 0)",[],4,2546
"[(1, 0), (-1, -1)]",v1376,False,"[(1, 0), (-1, -1)]","(94, 71)",[],75,2547
"[(0, -1), (1, -2), (1, 1)]",v1377,False,"[(0, -1), (1, 1)]","(34, 45)",[],41,2548
"[(0, -1), (1, 0), (3, 1)]",v1378,False,"[(0, -1), (1, 0)]","(35, 19)","[(2, 1)]",25,2549
"[(-1, 0)]",v1381,False,"[(-1, 0)]","(5, -19)",[],19,2550
"[(1, -2), (1, 1)]",v1382,False,"[(1, 1)]","(3, 5)",[],5,2551
"[(1, 0)]",v1383,False,"[(1, 0)]","(27, 2)",[],32,2552
"[(-1, 0)]",v1384,False,"[(-1, 0)]","(17, -2)",[],22,2553
"[(1, -1), (-1, 0)]",v1385,False,"[(1, -1), (-1, 0)]","(75, -31)","[(-3, 1), (2, -1)]",49,2554
"[(0, -1), (-1, 0)]",v1386,False,"[(0, -1), (-1, 0)]","(12, -77)",[],61,2555
"[(1, 0), (-1, -1)]",v1387,False,"[(1, 0), (-1, -1)]","(97, 50)","[(2, 1)]",57,2556
"[(1, 0)]",v1388,False,"[(1, 0)]","(15, 46)",[],55,2557
"[(0, -1), (-1, 0)]",v1389,False,"[(0, -1), (-1, 0)]","(4, -23)",[],40,2558
"[(2, -1), (1, -1), (-1, 0), (3, -2)]",v1392,'K7_51',"[(1, -1), (-1, 0)]","(65, -1)",[],49,2559
"[(1, 0), (1, -1)]",v1393,False,"[(1, 0), (1, -1)]","(33, 31)",[],53,2560
"[(0, -1), (1, 0)]",v1394,False,"[(0, -1), (1, 0)]","(26, 21)","[(-1, -1)]",31,2561
"[(-1, 0)]",v1395,False,"[(-1, 0)]","(91, -32)",[],73,2562
"[(2, -3), (-1, 0), (-1, -4), (-3, -2), (-3, -1), (3, -2), (1, -4), (1, -3), (1, -2), (-4, -1)]",v1396,False,"[(-1, 0)]","(55, -24)","[(-3, 1), (-4, 1)]",43,2563
"[(1, -3), (2, -3), (-1, 0), (0, -1)]",v1397,False,"[(-1, 0), (0, -1)]","(29, -10)",[],19,2564
"[(1, 0)]",v1398,False,"[(1, 0)]","(12, 13)","[(5, -2), (5, -1), (2, -3), (1, -3), (4, 1), (3, 1), (3, 2), (2, 1), (-2, -3), (3, -2), (-1, -3), (-1, -2), (1, -2), (4, -1)]",13,2565
"[(-4, -1), (2, -1), (3, -2), (1, -4), (0, -1), (-1, 0)]",v1399,False,"[(0, -1), (-1, 0)]","(35, -9)","[(3, -1), (-4, 1)]",31,2566
"[(-5, -2), (-4, -1), (-3, -2), (-3, -1), (-5, -1), (-1, 0)]",v1400,False,"[(-1, 0)]","(11, -17)",[],29,2567
"[(1, -1), (-1, 0)]",v1401,False,"[(1, -1), (-1, 0)]","(69, -5)",[],49,2568
"[(-1, 0)]",v1402,False,"[(-1, 0)]","(74, -19)",[],61,2569
"[(-1, -3), (-1, 0), (-2, -3), (-1, -1)]",v1403,False,"[(-1, 0), (-1, -1)]","(39, -37)",[],49,2570
"[(1, 0)]",v1404,False,"[(1, 0)]","(93, 32)",[],75,2571
"[(-1, 0)]",v1407,False,"[(-1, 0)]","(38, -23)",[],47,2572
"[(5, -1), (3, -1), (2, -3), (1, -3), (2, -1), (-1, -2), (-1, -3), (-3, -2), (3, -2), (-2, -3), (-2, -1), (1, -2), (4, -1)]",v1408,False,[],"(4, 1)","[(-3, -1), (5, 1)]",3,2573
"[(1, -1)]",v1409,False,"[(1, -1)]","(31, 8)",[],29,2574
"[(1, 0)]",v1412,False,"[(1, 0)]","(61, 7)",[],47,2575
"[(-1, 0), (-1, -1)]",v1413,False,"[(-1, 0), (-1, -1)]","(12, -5)",[],20,2576
"[(1, 0), (1, -1)]",v1416,False,"[(1, 0), (1, -1)]","(23, 11)",[],23,2577
"[(-1, -1)]",v1417,False,"[(-1, -1)]","(32, -1)",[],33,2578
"[(0, -1), (1, 0)]",v1418,False,"[(0, -1), (1, 0)]","(41, 59)",[],65,2579
"[(-1, -4), (1, 0), (-1, -3), (-2, -3), (0, -1)]",v1419,False,"[(1, 0), (0, -1)]","(56, 41)",[],49,2580
"[(-1, 0), (1, -1)]",v1420,False,"[(-1, 0), (1, -1)]","(8, -1)","[(2, -1), (3, -1), (3, -2), (4, -1)]",14,2581
"[(1, 0), (-1, -3), (-3, -4), (-2, -3), (-1, -1)]",v1421,False,"[(1, 0), (-1, -1)]","(56, 39)",[],43,2582
"[(5, -1), (3, -1), (2, -3), (-4, -1), (1, -3), (-3, -2), (-1, -2), (2, -1), (-1, -1), (3, -2), (-3, -1), (-1, -3), (-2, -3), (-5, -1), (-2, -1), (0, -1), (1, 0), (1, -2), (4, -1)]",v1422,False,"[(0, -1), (1, 0)]","(47, 4)",[],23,2583
"[(-1, 0)]",v1423,'K7_52',"[(-1, 0)]","(51, -1)",[],37,2584
"[(-1, 1), (-1, 0)]",v1424,False,"[(-1, 1), (-1, 0)]","(19, -67)",[],81,2585
"[(4, -3), (3, -1), (2, -3), (-1, 0), (-3, -1), (2, -1), (-2, -3), (-3, -2), (3, -2), (1, -4), (-2, -1), (4, -1), (-4, -1)]",v1425,'K7_53',"[(-1, 0)]","(46, -1)",[],29,2586
"[(1, -1), (-1, 0)]",v1426,False,"[(1, -1), (-1, 0)]","(22, -21)",[],36,2587
"[(0, -1), (1, 0), (-1, -1)]",v1427,False,"[(0, -1), (1, 0), (-1, -1)]","(93, 29)",[],67,2588
"[(1, 0)]",v1428,False,"[(1, 0)]","(7, 16)",[],40,2589
"[(-1, 0)]",v1429,False,"[(-1, 0)]","(7, -11)",[],15,2590
"[(0, -1), (1, -1), (-1, 0)]",v1430,False,"[(0, -1), (-1, 0)]","(12, -7)",[],13,2591
"[(4, -3), (5, -1), (2, -3), (1, -2), (5, -2), (4, -1), (3, -1), (3, -2), (1, -3), (1, 0), (5, -3)]",v1431,False,"[(1, 0)]","(7, 8)","[(3, 1), (3, 2), (2, 1), (-2, -3), (-1, -3), (-1, -2), (4, 1)]",11,2592
"[(1, 0)]",v1432,False,"[(1, 0)]","(47, 76)",[],69,2593
"[(-4, -1), (-3, -1), (-2, -1), (-2, -3), (-3, -2), (-1, -3), (-5, -1), (-1, -2), (-1, 0)]",v1433,False,"[(-1, 0)]","(48, -17)",[],39,2594
"[(-1, 0)]",v1434,'K7_54',"[(-1, 0)]","(11, -1)","[(5, -1), (-3, -1), (3, -1), (4, -1), (-4, -1)]",9,2595
"[(-1, 0)]",v1435,False,"[(-1, 0)]","(21, -73)",[],85,2596
"[(-5, -1), (-1, 0), (-3, -2), (-3, -1), (-5, -2), (-2, -1), (-4, -3), (-4, -1)]",v1436,False,"[(-1, 0)]","(5, -1)","[(3, -1), (4, -1)]",3,2597
"[(1, -1), (-1, 0)]",v1437,False,"[(1, -1), (-1, 0)]","(107, -61)",[],69,2598
"[(2, -3), (-1, -4), (1, -4), (0, -1), (1, -3), (1, 0)]",v1438,False,"[(0, -1), (1, 0)]","(11, 2)",[],9,2599
"[(1, 0)]",v1439,False,"[(1, 0)]","(33, 5)",[],23,2600
"[(1, 0)]",v1440,False,"[(1, 0)]","(21, 23)",[],35,2601
"[(0, -1), (1, -1), (-1, 0)]",v1443,False,"[(0, -1), (1, -1), (-1, 0)]","(92, -85)",[],87,2602
"[(0, -1), (1, 0), (-1, -1)]",v1444,False,"[(0, -1), (1, 0), (-1, -1)]","(89, 13)",[],73,2603
"[(-1, 0), (-1, -1)]",v1445,False,"[(-1, 0), (-1, -1)]","(59, -13)",[],47,2604
"[(-3, -2), (-1, -1), (-3, -1), (-2, -1), (0, -1), (1, 0)]",v1446,False,"[(-1, -1), (0, -1), (1, 0)]","(20, 3)","[(-4, -1)]",34,2605
"[(0, -1), (1, 0)]",v1447,False,"[(0, -1), (1, 0)]","(61, 49)",[],61,2606
"[(5, -1), (1, 0), (4, -1)]",v1448,False,"[(1, 0)]","(16, 25)","[(3, 2), (3, 1), (-1, -3), (2, 3), (4, 1)]",39,2607
"[(-1, 0)]",v1449,False,"[(-1, 0)]","(25, -68)",[],65,2608
"[(0, -1), (-1, 0)]",v1450,False,"[(0, -1), (-1, 0)]","(37, -25)",[],29,2609
"[(-1, 0)]",v1451,False,"[(-1, 0)]","(18, -7)",[],13,2610
"[(1, 0)]",v1452,False,"[(1, 0)]","(31, 14)",[],31,2611
"[(-3, -4), (-4, -3), (-3, -2), (-1, -1), (0, -1), (1, 0)]",v1453,False,"[(-1, -1), (0, -1), (1, 0)]","(85, 33)","[(3, 1), (4, 1)]",61,2612
"[(1, 0), (1, 1)]",v1454,False,"[(1, 0), (1, 1)]","(8, 19)",[],44,2613
"[(0, -1), (1, 0)]",v1455,False,"[(0, -1), (1, 0)]","(5, 3)","[(2, 1)]",15,2614
"[(0, -1), (-1, 0)]",v1456,False,"[(0, -1), (-1, 0)]","(56, -51)",[],71,2615
"[(1, 0), (1, 1)]",v1457,False,"[(1, 0), (1, 1)]","(87, 91)",[],83,2616
"[(0, -1), (1, 0)]",v1458,False,"[(0, -1), (1, 0)]","(17, 7)",[],34,2617
"[(0, -1), (1, 0), (-1, -1)]",v1459,False,"[(0, -1), (1, 0), (-1, -1)]","(103, 89)",[],93,2618
"[(0, -1), (1, 0), (-1, -1)]",v1460,False,"[(0, -1), (1, 0), (-1, -1)]","(97, 45)",[],61,2619
"[(-4, 1), (2, -3), (-1, 0), (1, -3), (-1, -3), (-3, 2), (-2, -3), (1, -4), (-4, 3), (3, -4), (1, -2)]",v1461,False,"[(-1, 0)]","(33, -31)",[],23,2620
"[(-1, 0)]",v1462,False,"[(-1, 0)]","(5, -2)","[(-3, 1), (2, -1), (-4, 1)]",3,2621
"[(1, 0), (1, -1)]",v1463,False,"[(1, 0), (1, -1)]","(18, 1)",[],28,2622
"[(5, -1), (2, -1), (3, -1), (3, -2), (1, 0), (4, -1)]",v1464,False,"[(1, 0)]","(25, 16)",[],27,2623
"[(1, 0), (-1, -1)]",v1465,False,"[(1, 0), (-1, -1)]","(13, 8)",[],9,2624
"[(-4, -1), (-3, -1), (-3, -2), (-1, -4), (-2, -3), (-2, -1), (-1, 0)]",v1466,False,"[(-1, 0)]","(16, -47)","[(1, -4), (1, -3)]",57,2625
"[(-3, 2), (-1, 0)]",v1467,False,"[(-1, 0)]","(5, -8)",[],9,2626
"[(1, 0), (1, 1)]",v1468,False,"[(1, 0), (1, 1)]","(9, 53)","[(1, 3), (1, 4)]",61,2627
"[(2, -3), (-1, 0), (1, -1), (-4, 3), (-3, 2), (1, -2)]",v1469,False,"[(-1, 0), (1, -1)]","(20, -17)",[],24,2628
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (2, -1), (-2, -1), (-3, -1), (-1, -3), (3, -2), (-5, -1), (-1, -2), (1, -3), (1, -2), (-2, -3)]",v1470,False,"[(0, -1)]","(23, -4)","[(5, -1), (3, -1), (4, -1)]",15,2629
"[(-1, 0)]",v1471,False,"[(-1, 0)]","(10, -1)",[],9,2630
"[(-1, 1), (-1, 0)]",v1472,False,"[(-1, 1), (-1, 0)]","(9, -17)",[],19,2631
"[(-1, 0), (-1, -1)]",v1473,False,"[(-1, 0), (-1, -1)]","(47, -29)",[],57,2632
"[(1, 1)]",v1474,False,"[(1, 1)]","(6, 37)",[],39,2633
"[(1, 0), (2, -1), (4, -1), (3, -1)]",v1475,False,"[(1, 0)]","(8, 13)",[],25,2634
"[(1, 0), (-1, -1)]",v1476,False,"[(1, 0), (-1, -1)]","(118, 65)",[],75,2635
"[(2, -1), (-1, 0), (3, -2)]",v1477,False,"[(-1, 0)]","(25, -8)",[],15,2636
"[(0, -1), (2, -3), (-1, 0), (1, -4)]",v1478,False,"[(0, -1), (-1, 0)]","(83, -10)",[],67,2637
"[(1, 0), (-1, -1)]",v1479,False,"[(1, 0), (-1, -1)]","(101, 93)",[],79,2638
"[(-1, 0), (-1, -1)]",v1480,False,"[(-1, 0), (-1, -1)]","(82, -15)",[],73,2639
"[(-2, -3), (-1, -1), (1, 0), (4, -1)]",v1481,False,"[(-1, -1), (1, 0)]","(45, 23)","[(-4, -3), (3, 1), (-3, -2), (2, 1), (4, 1)]",35,2640
"[(1, -1), (-1, 0)]",v1482,False,"[(1, -1), (-1, 0)]","(38, -31)",[],33,2641
"[(0, -1), (-1, 0), (-1, -1)]",v1483,False,"[(0, -1), (-1, 0), (-1, -1)]","(85, -3)",[],79,2642
"[(1, 0)]",v1484,False,"[(1, 0)]","(37, 13)","[(-2, -1)]",29,2643
"[(-1, 0)]",v1485,False,"[(-1, 0)]","(29, -77)",[],95,2644
"[(1, 0)]",v1486,False,"[(1, 0)]","(43, 59)",[],85,2645
"[(0, -1), (-1, 1), (-1, 0)]",v1487,False,"[(0, -1), (-1, 1), (-1, 0)]","(43, -49)",[],47,2646
"[(-1, 0), (-2, -1)]",v1488,False,"[(-1, 0)]","(52, -9)",[],35,2647
"[(4, -3), (2, -3), (-1, 0), (2, -1), (3, -2), (3, -4), (1, -1), (5, -3), (-4, -1)]",v1489,False,"[(-1, 0), (1, -1)]","(80, -29)","[(5, -2), (-5, 1), (-3, 1), (-4, 1)]",53,2648
"[(1, -1), (-1, 0), (3, -2)]",v1490,False,"[(1, -1), (-1, 0)]","(88, -29)",[],55,2649
[],v1491,False,[],"(0, 1)","[(1, -1), (2, -1)]",1,2650
"[(3, -2), (1, -3), (2, -3), (1, -4), (0, -1), (1, 0), (1, -2), (4, -1)]",v1492,False,"[(0, -1), (1, 0)]","(1, 1)","[(3, 2), (-2, -3), (-1, -4), (-1, -3), (-1, -2)]",1,2651
"[(1, -1), (-1, 0)]",v1493,False,"[(1, -1), (-1, 0)]","(127, -83)",[],93,2652
"[(-1, 1), (-1, 0)]",v1494,False,"[(-1, 1), (-1, 0)]","(31, -83)",[],99,2653
"[(0, -1), (1, 0), (-1, -1)]",v1495,False,"[(0, -1), (1, 0)]","(72, 37)",[],77,2654
"[(0, -1), (1, 0), (1, 1)]",v1496,False,"[(0, -1), (1, 0), (1, 1)]","(29, 47)",[],51,2655
"[(0, -1), (1, -1), (-1, 0)]",v1497,False,"[(0, -1), (1, -1), (-1, 0)]","(113, -100)",[],105,2656
"[(5, -1), (4, -3), (2, -3), (2, -1), (1, -2), (3, -1), (3, -2), (1, -4), (1, -3), (4, -1), (0, -1)]",v1498,False,"[(0, -1)]","(29, 12)","[(3, 1), (-3, -2), (-1, -2), (-2, -1), (-1, -3), (-2, -3), (-1, -1), (4, 1)]",29,2657
"[(1, 0), (-1, -1), (-1, -2)]",v1499,False,"[(1, 0), (-1, -1)]","(51, 41)",[],45,2658
"[(-3, -1), (1, 0), (-1, -1), (-2, -1)]",v1500,False,"[(1, 0), (-1, -1)]","(71, 4)",[],55,2659
"[(-1, 0)]",v1501,False,"[(-1, 0)]","(29, -22)",[],33,2660
"[(1, 0), (-1, -1), (-2, -1)]",v1502,False,"[(1, 0), (-1, -1)]","(83, 24)","[(-3, -1)]",57,2661
"[(1, 0), (1, -1)]",v1503,False,"[(1, 0), (1, -1)]","(73, 11)",[],59,2662
"[(1, 0), (-1, -1)]",v1504,False,"[(1, 0), (-1, -1)]","(125, 97)",[],105,2663
"[(-3, -1), (0, -1), (-1, 0), (3, -1), (-2, -1)]",v1505,False,"[(0, -1), (-1, 0)]","(5, -1)",[],3,2664
"[(1, 0)]",v1506,False,"[(1, 0)]","(13, 34)",[],41,2665
"[(0, -1), (1, 0), (-1, -2)]",v1507,False,"[(0, -1), (1, 0)]","(13, 11)",[],13,2666
"[(-1, 0), (-3, 1), (-3, 2), (-1, -4), (-4, 1)]",v1508,False,"[(-1, 0)]","(2, -3)","[(1, -4), (1, -3), (1, -2)]",3,2667
"[(-1, 0)]",v1509,False,"[(-1, 0)]","(15, -14)",[],23,2668
"[(-1, 0)]",v1510,False,"[(-1, 0)]","(21, -23)",[],43,2669
"[(1, 2), (1, 0), (1, -1)]",v1511,False,"[(1, 0), (1, -1)]","(2, 13)",[],30,2670
"[(1, 0), (1, -1)]",v1512,False,"[(1, 0), (1, -1)]","(20, 3)",[],36,2671
"[(2, -3), (-1, -2), (2, -1), (-3, -4), (1, -2), (-1, -4), (-1, -3), (3, -2), (1, -3), (-2, -3)]",v1513,False,[],"(1, 0)","[(-5, -1), (-4, -1), (-3, -1), (3, -1), (-5, -2), (-2, -1), (-4, -3), (-3, -2), (4, -1)]",3,2672
"[(-1, 0), (-3, 1), (-3, 2), (-4, 1)]",v1514,False,"[(-1, 0)]","(18, -55)","[(-1, 3), (-2, 3), (1, -4)]",63,2673
"[(0, -1), (1, 0)]",v1515,False,"[(0, -1), (1, 0)]","(56, 43)",[],55,2674
"[(3, -2), (2, -3), (5, 2), (3, 1), (-1, -1), (3, -1), (-1, -4), (-2, -3), (-1, -3), (5, 1), (1, 0), (4, 1), (4, -1)]",v1516,False,"[(-1, -1), (1, 0)]","(71, 34)","[(-3, -2), (-2, -1), (-4, -3)]",39,2675
"[(1, 0)]",v1517,False,"[(1, 0)]","(4, 1)","[(-3, -1)]",3,2676
"[(0, -1), (1, 0)]",v1518,False,"[(0, -1), (1, 0)]","(45, 47)","[(3, 2)]",59,2677
"[(1, -1), (-1, 0)]",v1519,False,"[(1, -1), (-1, 0)]","(46, -29)",[],33,2678
"[(-5, 1), (-4, 1), (-1, 0)]",v1520,False,"[(-1, 0)]","(27, -31)",[],47,2679
"[(-3, 1), (-1, 0), (0, -1)]",v1521,False,"[(-1, 0), (0, -1)]","(55, -37)",[],55,2680
"[(-1, 1), (-1, 0)]",v1522,False,"[(-1, 1), (-1, 0)]","(99, -107)",[],101,2681
"[(-1, 0)]",v1523,False,"[(-1, 0)]","(35, -47)",[],67,2682
"[(0, -1), (-1, 0), (3, -1)]",v1524,False,"[(0, -1), (-1, 0)]","(15, -2)",[],20,2683
"[(0, -1), (2, -3), (-3, -2), (1, -2), (2, -1), (-2, -1), (3, -2), (-1, -4), (-2, -3), (3, -1), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1), (-1, -3)]",v1525,False,"[(0, -1), (1, 0)]","(41, 13)","[(-3, -1), (4, 1)]",27,2684
"[(1, 0)]",v1526,False,"[(1, 0)]","(22, 5)",[],19,2685
"[(1, 0)]",v1527,False,"[(1, 0)]","(5, 56)",[],63,2686
"[(3, 2), (-2, -3), (4, 3), (-1, -1)]",v1528,False,"[(-1, -1)]","(10, 9)",[],7,2687
"[(1, 0)]",v1529,False,"[(1, 0)]","(33, 19)",[],31,2688
"[(1, 0), (-1, -1)]",v1530,False,"[(1, 0), (-1, -1)]","(5, 4)",[],13,2689
"[(1, 0), (1, 1)]",v1531,False,"[(1, 0), (1, 1)]","(57, 101)",[],113,2690
"[(-1, 0)]",v1532,False,"[(-1, 0)]","(9, -37)",[],43,2691
"[(-1, 0)]",v1533,False,"[(-1, 0)]","(14, -61)",[],59,2692
"[(5, -1), (1, -3), (2, -3), (-3, -2), (-2, -1), (2, -1), (-1, -1), (3, -2), (-2, -3), (3, -1), (-1, -2), (1, 0), (1, -2), (4, -1), (-1, -3)]",v1534,False,"[(1, 0)]","(29, 7)","[(-4, -1), (6, 1), (-3, -1), (-5, -2), (5, 1)]",15,2693
"[(-1, 0)]",v1535,False,"[(-1, 0)]","(3, -1)",[],8,2694
"[(1, 0)]",v1536,False,"[(1, 0)]","(35, 17)",[],37,2695
"[(1, 0)]",v1537,False,"[(1, 0)]","(25, 13)",[],15,2696
"[(1, 0)]",v1538,False,"[(1, 0)]","(12, 11)","[(5, -1), (3, -1), (3, 2), (3, 1), (1, -3), (1, -1), (2, -1), (5, 2), (-2, -3), (2, 1), (3, -2), (-1, -2), (4, 1), (5, 1), (1, -2), (4, -1), (-1, -3)]",11,2697
[],v1540,False,[],"(1, 3)","[(1, 2), (3, 2), (3, 1), (2, -3), (2, 1), (2, 3), (1, -3), (5, 1), (4, 1)]",3,2698
"[(2, -3), (-1, 0), (3, -4), (1, -1)]",v1541,False,"[(-1, 0), (1, -1)]","(54, -31)","[(4, -3), (-2, 1), (3, -2), (-3, 1), (-4, 1)]",45,2699
"[(0, -1), (1, 0)]",v1542,False,"[(0, -1), (1, 0)]","(7, 8)","[(-1, -2)]",9,2700
"[(-1, -4), (3, -1), (1, 0), (4, -1)]",v1543,False,"[(1, 0)]","(38, 41)","[(3, 2), (3, 1), (-2, -3), (4, 1)]",55,2701
"[(0, -1), (1, 0), (-1, -1)]",v1544,False,"[(0, -1), (1, 0), (-1, -1)]","(27, 10)",[],38,2702
"[(1, 0)]",v1545,False,"[(1, 0)]","(71, 18)",[],59,2703
"[(1, 0)]",v1546,False,"[(1, 0)]","(49, 53)",[],73,2704
"[(2, -1), (1, -1), (-1, 0), (3, -2)]",v1547,'K7_55',"[(1, -1), (-1, 0)]","(72, -1)",[],55,2705
"[(-1, 0)]",v1548,False,"[(-1, 0)]","(35, -8)",[],25,2706
"[(-1, 0)]",v1549,False,"[(-1, 0)]","(35, -22)",[],43,2707
